EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
Symantec Corp. , which had been among the most bullish of software companies at the time of the Windows 95 launch , ended up posting disappointing financial results when retail sales of the operating system fell short of its projections .	B-ORG I-ORG O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O
Touchstone Software Corp. had to pay $ 1.3 million in cash and stock to settle a shareholders lawsuit brought after the company 's sales failed to meet expectations tied to the Windows 95 launch .	B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O
Many software developers apparently saw their crucial holiday season sales suffer last year because store shelves were jammed with blue-and-white boxes of Windows 95 , resulting in a shortage of space for seasonal products , said Ann Stephens , president of PC Data Inc .	O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O B-PER I-PER O O O B-ORG I-ORG I-ORG O
To be sure , sales of Windows 95 and the accompanying Office 95 upgrade drove Microsoft sales up 46 percent last year to a record $ 8.67 billion and cemented the company 's status as the industry 's dominant company .	O O O O O O B-MISC I-MISC O O O B-MISC I-MISC O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
Microsoft executives say they are thrilled with the sales figures , and industry analysts estimate that by sometime next year , the installed base of Windows 95 will surpass that of the older version of Windows , now used on about 100 million computers worldwide .	B-ORG O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O O O B-MISC O O O O O O O O O O
But Enderle said the figure could have been even higher if Microsoft had done a better job of handling the huge demand for technical support from customers who were frustrated trying to install the system .	O B-PER O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O
He and other analysts said corporate America adopted a go-slow approach because Microsoft already was promoting the new version of its high-end Windows NT operating system , expected to be available in stores in the next several weeks .	O O O O O O B-LOC O O O O O B-ORG O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O
" Microsoft sent a lot of signals that NT was going to be the answer , " Winkler said . "	O B-ORG O O O O O O B-MISC O O O O O O O O B-PER O O O
Many people began to believe that Windows 95 was being downplayed . "	O O O O O O B-MISC I-MISC O O O O O
But now that Windows NT 4.0 has been launched , Winkler and others believe only a relatively small proportion of corporate users will elect to pay the added software and hardware costs needed to use it instead of Windows 95 .	O O O B-MISC I-MISC I-MISC O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O
" Windows 95 is going to do great , " he said . "	O B-MISC I-MISC O O O O O O O O O O O
The mistake people made was in thinking it was going to be a fast , sweeping change rather than a slow , building change . "	O O O O O O O O O O O O O O O O O O O O O O O O O O
U.S. says still committed to Cuba migration pacts .	B-LOC O O O O B-LOC O O O
WASHINGTON 1996-08-22	B-LOC O
The United States said on Thursday it remained committed to migration accords with Cuba and would continue to repatriate intercepted Cuban migrants who attempted to enter U.S. territory illegally .	O B-LOC I-LOC O O O O O O O O O O B-LOC O O O O O O B-MISC O O O O O B-LOC O O O
A State Department statement appeared in part a response to Cuban complaints that Washington was jeopardising the accords by failing to return some of the Cubans involved in recent illegal migration incidents .	O B-ORG I-ORG O O O O O O O B-MISC O O B-LOC O O O O O O O O O O O B-MISC O O O O O O O
" The United States reiterates its full commitment to the implementation " of the accords signed by the two countries in 1994 and 1995 , said the statement by spokesman Glyn Davies .	O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O
" The United States will continue to return Cuban migrants intercepted at sea who seek to enter the United States or the Guantanamo Naval Base illegally , " it said .	O O B-LOC I-LOC O O O O B-MISC O O O O O O O O O B-LOC I-LOC O O B-LOC I-LOC I-LOC O O O O O O
Washington would also take " prompt and effective law enforcement action " against alien smuggling and hijackings from Cuba , it added .	B-LOC O O O O O O O O O O O O O O O O O B-LOC O O O O
Davies told reporters the statement would be distributed in the Cuban exile community in Miami " to remind everyone of the importance of abiding by the accords and avoiding dangerous attempts to cross the straits " from Cuba to Florida .	B-PER O O O O O O O O O B-MISC O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O
Havana 's complaints centred on an incident in which a boatload of emigrants capsized in the Florida Straits last week and two recent aircraft hijackings from Cuba .	B-LOC O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O B-LOC O
Sixteen of those picked up from the boat were returned to Cuba but eight were taken to the United States and three to Guantanamo Bay , a U.S. base on Cuba , until they emigrated to another nation .	O O O O O O O O O O O B-LOC O O O O O O B-LOC I-LOC O O O B-LOC I-LOC O O B-LOC O O B-LOC O O O O O O O O
The most recent hijacking , last Friday , involved three hijackers and the pilot of a small aircraft .	O O O O O O O O O O O O O O O O O O O
Davies said on Tuesday the pilot could soon return to Cuba but U.S. authorities planned to try the hijackers .	B-PER O O O O O O O O O B-LOC O B-LOC O O O O O O O
In an incident on July 7 , a Cuban interior ministry official hijacked a commercial plane and sought aylum at Guantanamo Bay .	O O O O O O O O B-MISC B-ORG I-ORG O O O O O O O O O B-LOC I-LOC O
Davies said he knew of no plans to return the man to Cuba .	B-PER O O O O O O O O O O O B-LOC O
Wis .	B-LOC O
says is first state to apply for new welfare .	O O O O O O O O O O
CHICAGO 1996-08-22	B-LOC O
In keeping with its pioneering image in the area of welfare , Wisconsin was the first state to submit an administrative plan under the nation 's new welfare law , Gov .	O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O
Tommy Thompson said Thursday .	B-PER I-PER O O O
According to a new release from the governor , Wisconsin submitted a plan to the U.S. Department of Health and Human Services for administration of the new block grant system for welfare just minutes after President Bill Clinton signed the measure into law Thursday .	O O O O O O O O O B-LOC O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O B-PER I-PER O O O O O O O
" As the nation 's leader in welfare reform , Wisconsin is far ahead of the curve and ready to go under this new system , " Thompson said .	O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O B-PER O O
Still , the governor said the new law does not go as far as the state 's own welfare reform program , dubbed W-2 .	O O O O O O O O O O O O O O O O O O O O O O O B-MISC O
He said that despite the new law , Wisconsin will still require federal waivers allowing the working poor to acquire health care coverage from the state , a 60-day residency requirement for participation in the welfare program , and child support collections to go directly to custodial parents .	O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The nation 's new welfare reform law limits eligibility , gives states more power and ends direct federal aid for poor children .	O O O O O O O O O O O O O O O O O O O O O O O
-- Karen Pierog , 312-408-8647	O B-PER I-PER O O
Snoozing Vietnamese man takes slow train to Alaska .	O B-MISC O O O O O B-LOC O
ANCHORAGE , Alaska 1996-08-22	B-LOC O B-LOC O
A Vietnamese man who tried to take a snooze in a railway boxcar in Canada found himself locked in and bound for Alaska with no food or water .	O B-MISC O O O O O O O O O O O O B-LOC O O O O O O O B-LOC O O O O O O
Officials in the port of Whittier said on Thursday that they found Tuan Quac Phan , 29 , dehydrated , famished and terrified after sailing to Alaska from Canada in the boxcar loaded on a barge , a trip that takes about five days .	O O O O O B-LOC O O O O O O B-PER I-PER I-PER O O O O O O O O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O
Sgt .	O O
Dan Jewell of the Whittier , Alaska police department described Phan as " extremely cooperative " . "	B-PER I-PER O O B-LOC O B-LOC O O O B-PER O O O O O O O
Seeing me in my uniform , he kept saying , Jail better .	O O O O O O O O O O O O O
Jail better . '	O O O O
"	O
Phan 's accidental journey started last week in Prince Rupert , British Columbia , where he was searching for a fishing job , Jewell said .	B-PER O O O O O O O B-LOC I-LOC O B-LOC I-LOC O O O O O O O O O O B-PER O O
" He had climbed up in this boxcar to get out of the weather and to get some sleep , " Jewell said . "	O O O O O O O O O O O O O O O O O O O O O B-PER O O O
The next thing you know , the boxcar is coupled up and loaded up to a barge and headed north . "	O O O O O O O O O O O O O O O O O O O O O O
Police found Phan late on Monday when the boxcar , which was transporting lumber , was opened at Whittier , a port in western Prince William Sound .	O O B-PER O O O O O O O O O O O O O O O B-LOC O O O O O B-LOC I-LOC I-LOC O
Officials fed Phan some soup , gave him medical care , kept him overnight and then fed him a large breakfast .	O O B-PER O O O O O O O O O O O O O O O O O O O
State , federal agents probe Arkansas church fires .	O O O O O B-LOC O O O
Steve Barnes	B-PER I-PER
LITTLE ROCK , Ark .	B-LOC I-LOC O B-LOC O
1996-08-22	O
State and federal agents on Thursday sifted through the rubble of two predominantly black Arkansas churches that burned within minutes of one another late Tuesday and early Wednesday .	O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O
Both churches were in the Mississippi delta region of Arkansas , about 90 miles ( 145 kms ) southeast of Little Rock , and were located within three miles of one another .	O O O O O B-LOC O O O B-LOC O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O
" We 're investigating with the idea that both fires may be arson , but that has n't been conclusively established , " said Wayne Jordan , a spokesman for the Arkansas State Police .	O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O B-ORG I-ORG I-ORG O
Agents of the F.B.I. and the Bureau of Alcohol , Tobacco and Firearms were also at the scene , Jordan said .	O O O B-ORG O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O B-PER O O
Mount Zion Missionary Baptist Church and St. Matthews Missionary Baptist Church were both frame structures , each near Turner , Arkansas , a small community surrounded by cotton and soybean fields .	B-LOC I-LOC I-LOC I-LOC I-LOC O B-LOC I-LOC I-LOC I-LOC I-LOC O O O O O O O B-LOC O B-LOC O O O O O O O O O O O
" This is rural Arkansas .	O O O O B-LOC O
I 'm surprised anyone could even find us out here , " said Fannie Johnson , a member of St. Matthew 's , who said she believed arson was to blame .	O O O O O O O O O O O O O B-PER I-PER O O O O B-LOC I-LOC I-LOC O O O O O O O O O O
Others connected with the two churches said they shared that suspicion , although all said they knew of no motive and no racial tension in the area .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" It 's sad someone would have that kind of spite in their heart , " said Rev. Jerome Turner , pastor of Mount Zion Missionary Baptist Church .	O O O O O O O O O O O O O O O O O O B-PER I-PER O O O B-LOC I-LOC I-LOC I-LOC I-LOC O
Arkansas has been spared the loss of predominantly black churches to arson , a wave that has claimed an estimated 30 houses of worship across the south in the past several months .	B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
A black church near Camden , Arkansas , about 100 miles ( 161 kms ) south of Little Rock , burned in July , but federal agents have not determined the cause .	O O O O B-LOC O B-LOC O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O
RESEARCH ALERT - Royal Oak initiated .	O O O B-ORG I-ORG O O
-- EVEREN Securities Inc said Friday it initiated coverage of Royal Oak Mines Inc with an outperform rating .	O B-ORG I-ORG I-ORG O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O
-- It set earnings estimates of $ 0.08 a share for fiscal 1996 , $ 0.13 for 1997 , $ 0.40 for 1998 and $ 0.43 for 1999 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
